BOROUGH,NEIGHBORHOOD,TAX CLASS AT PRESENT,BLOCK,BUILDING CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,MASPETH,1,2749,B,11378,2,0,2,2200,1728,1935,1,B,723000,2017-01-30
4,RICHMOND HILL,1,9302,A,11418,1,0,1,2056,1655,1920,1,A,530000,2016-12-09
5,WESTERLEIGH,1,1460,A,10302,1,0,1,4100,1138,1950,1,A,502500,2016-12-23
3,OLD MILL BASIN,1,7855,A,11234,1,0,1,4000,640,1950,1,A,440000,2017-03-03
2,BAYCHESTER,1,4983,A,10466,1,0,1,4750,1400,1920,1,A,485000,2016-12-15
4,CORONA,1,1905,A,11368,1,0,1,2400,1352,1920,1,A,572256,2016-09-08
5,PORT RICHMOND,1,1061,B,10302,2,0,2,3800,1328,1905,1,B,630000,2016-11-23
4,ST. ALBANS,1,11030,A,11411,1,0,1,2400,1057,1930,1,A,295000,2017-08-08
4,LAURELTON,1,12911,A,11422,1,0,1,4000,1288,1945,1,A,457000,2016-11-10
4,FLUSHING-NORTH,1,5223,A,11355,1,0,1,4000,1575,1950,1,A,1090000,2017-06-12
5,BULLS HEAD,1,1602,A,10314,1,0,1,1395,1884,2015,1,A,500916,2016-10-27
4,OAKLAND GARDENS,1,7761,A,11364,1,0,1,6240,2056,1940,1,A,950000,2017-07-12
4,SPRINGFIELD GARDENS,1,12686,B,11412,2,0,2,6825,949,1950,1,B,515000,2016-10-14
5,TOTTENVILLE,1,8023,A,10307,1,0,1,3960,1312,1901,1,A,300000,2016-10-14
4,WOODHAVEN,1,8888,B,11421,2,0,2,3600,2676,1905,1,B,740000,2016-11-16
4,SO. JAMAICA-BAISLEY PARK,1,12103,A,11436,1,0,1,1900,952,1925,1,A,230685,2017-07-14
4,HOLLIS,1,10921,A,11429,1,0,1,4800,1752,1925,1,A,540000,2016-12-16
4,LITTLE NECK,1,8160,B,11363,2,0,2,2408,1920,1975,1,B,925000,2017-08-09
4,WOODHAVEN,1,8963,B,11421,2,0,2,5000,2095,1920,1,B,680000,2016-12-12
4,ELMHURST,2B,1552,C,11373,10,0,10,5000,3420,1931,2,C,2700000,2017-06-21
4,BAYSIDE,1,6319,B,11361,2,0,2,4000,1645,1940,1,B,868000,2016-12-21
4,KEW GARDENS,1,3330,A,11415,1,0,1,6017,2383,1910,1,A,1480000,2017-05-30
2,COUNTRY CLUB,1,5408,A,10465,1,0,1,2113,1920,1940,1,A,572000,2017-04-17
5,NEW DORP-HEIGHTS,1,948,A,10306,1,0,1,4000,2181,1960,1,A,690000,2017-08-17
4,ST. ALBANS,1,11014,A,11412,1,0,1,2000,780,1945,1,A,420000,2017-05-15
3,CANARSIE,1,8211,B,11236,2,0,2,2500,1600,1930,1,B,490000,2016-12-07
5,GREAT KILLS,1,5497,B,10308,2,0,2,3925,1800,1996,1,B,580000,2016-09-15
2,THROGS NECK,1,5529,A,10465,1,0,1,3303,884,1925,1,A,439000,2016-09-27
4,HOLLIS,1,10471,B,11423,2,0,2,3404,1936,1965,1,B,580000,2017-03-24
4,WHITESTONE,1,4640,A,11357,1,0,1,4685,1495,1930,1,A,889000,2017-07-26
3,FLATLANDS,1,7805,B,11234,2,0,2,2200,3280,1960,1,B,786500,2017-07-10
3,BUSHWICK,1,3395,C,11221,3,0,3,2000,4800,2004,1,C,1330000,2017-05-22
3,SHEEPSHEAD BAY,4,7386,O,11229,0,4,4,4200,2574,1950,4,O,1075000,2016-11-16
3,SUNSET PARK,1,673,A,11232,1,0,1,2504,1020,1910,1,A,1050000,2017-05-03
4,QUEENS VILLAGE,1,10773,A,11429,1,0,1,6000,2301,1915,1,A,355500,2017-01-20
4,COLLEGE POINT,1,3950,A,11356,1,0,1,2500,1465,1925,1,A,705000,2017-03-23
2,SOUNDVIEW,1,3441,A,10473,1,0,1,2500,525,1920,1,A,75000,2017-02-02
5,GREAT KILLS,1,4447,B,10306,2,0,2,1443,576,1986,1,B,340000,2016-10-25
4,FLUSHING-SOUTH,1,6915,A,11365,1,0,1,4000,1105,1950,1,A,872000,2016-12-13
4,CAMBRIA HEIGHTS,1,11319,A,11411,1,0,1,2542,1280,1940,1,A,359000,2016-09-12
4,RICHMOND HILL,1,9482,B,11419,2,0,2,3250,2072,1920,1,B,300000,2016-11-10
5,ROSSVILLE,1,6087,A,10312,1,0,1,2386,1548,1996,1,A,499000,2016-09-22
3,SPRING CREEK,1,4452,A,11239,1,0,1,1900,1638,2016,1,A,419666,2017-06-28
2,BAYCHESTER,1,4984,B,10466,2,0,2,2375,2700,1950,1,B,408000,2017-02-06
3,COBBLE HILL,1,333,C,11231,3,0,3,2500,3344,1899,1,C,3900000,2017-06-29
4,ROSEDALE,1,13573,A,11422,1,0,1,1850,908,2005,1,A,251500,2017-05-05
2,WAKEFIELD,1,5013,A,10466,1,0,1,3327,1064,1920,1,A,300000,2017-04-12
4,SOUTH OZONE PARK,1,11898,B,11420,2,0,2,4000,1304,1950,1,B,500000,2017-04-21
4,ASTORIA,4,802,E,11105,0,1,1,2500,4450,2015,4,E,1740000,2017-01-19
2,BAYCHESTER,1,5227,A,10475,1,0,1,3750,1712,1955,1,A,410000,2017-04-06
4,ARVERNE,1,15897,B,11692,2,0,2,2075,2000,2003,1,B,427260,2017-03-24
3,EAST NEW YORK,2A,4182,C,11208,6,0,6,2802,5712,1917,2,C,1025000,2017-01-04
4,CORONA,2A,1933,S,11368,3,1,4,2500,2852,1931,2,S,1088000,2017-02-06
4,MIDDLE VILLAGE,1,3018,A,11379,1,0,1,2045,1460,1935,1,A,830000,2017-05-22
4,JACKSON HEIGHTS,1,1402,S,11369,2,1,3,2400,3300,1950,1,S,1252000,2017-07-17
5,GREAT KILLS,1,4645,B,10306,2,0,2,1951,2184,1996,1,B,525000,2016-10-06
2,MOUNT HOPE/MOUNT EDEN,2B,2797,S,10457,4,4,8,4275,5679,1910,2,S,1265000,2016-09-21
4,SPRINGFIELD GARDENS,1,12723,B,11413,2,0,2,2310,1530,1960,1,B,395000,2017-01-11
3,MARINE PARK,1,8501,A,11234,1,0,1,1445,1036,1925,1,A,551500,2016-09-06
4,HOWARD BEACH,1,14253,A,11414,1,0,1,2400,608,1930,1,A,350000,2017-03-03
5,PLEASANT PLAINS,1,7540,A,10309,1,0,1,9435,1696,1910,1,A,642500,2017-06-29
4,SPRINGFIELD GARDENS,1,12484,A,11434,1,0,1,2000,1420,1935,1,A,210000,2017-02-08
5,GREAT KILLS,1,5442,A,10308,1,0,1,2300,1376,1976,1,A,460000,2016-12-06
3,FLATBUSH-CENTRAL,1,5130,B,11226,2,0,2,2800,1448,1899,1,B,200000,2017-02-28
4,OZONE PARK,1,9036,B,11416,2,0,2,2500,2200,1910,1,B,475000,2017-08-16
4,HOLLIS,1,10837,A,11423,1,0,1,4000,1632,1925,1,A,500000,2017-04-27
3,CANARSIE,1,8001,B,11236,2,0,2,2000,1720,1960,1,B,530000,2016-09-26
3,BOROUGH PARK,1,5637,C,11220,3,0,3,2000,3016,1965,1,C,1340000,2016-09-07
4,MIDDLE VILLAGE,4,3000,O,11374,1,3,4,1800,3600,1932,4,O,1450000,2017-06-22
4,FLUSHING-NORTH,1,4782,B,11354,2,0,2,2300,2875,1965,1,B,450000,2017-07-03
4,BELLE HARBOR,1,16270,A,11694,1,0,1,6000,1838,1920,1,A,950000,2016-11-15
5,NEW DORP-BEACH,1,4049,A,10306,1,0,1,3022,1200,2001,1,A,595000,2017-05-12
4,FLUSHING-SOUTH,1,7005,B,11366,2,0,2,2850,1848,1955,1,B,998000,2016-12-28
2,MELROSE/CONCOURSE,1,2459,S,10451,1,1,2,2410,2075,1901,1,S,470000,2017-03-30
2,BAYCHESTER,1,4740,A,10469,1,0,1,2500,1736,1935,1,A,430000,2017-05-25
3,BENSONHURST,1,6246,A,11228,1,0,1,2000,1440,1920,1,A,850000,2016-09-27
4,FLUSHING-SOUTH,1,6837,A,11366,1,0,1,4000,1278,1945,1,A,775000,2016-09-28
3,CROWN HEIGHTS,1,1230,B,11213,2,0,2,2200,4008,1901,1,B,2200000,2017-05-18
2,BELMONT,1,3102,B,10458,2,0,2,2375,2380,1925,1,B,440000,2017-04-06
3,FLATBUSH-NORTH,1,4805,B,11203,2,0,2,2000,1760,1955,1,B,650000,2017-06-27
5,TOTTENVILLE,1,8039,B,10307,2,0,2,4125,2475,2016,1,V,834965,2016-09-06
4,ARVERNE,1,15905,B,11692,2,0,2,3210,2515,2014,1,B,761500,2017-08-16
5,BULLS HEAD,1,1606,A,10314,1,0,1,3388,2288,2015,1,A,778961,2016-11-21
3,GRAVESEND,1,6901,B,11214,2,0,2,1933,1377,1925,1,B,495000,2016-10-24
4,FLUSHING-NORTH,1,5217,A,11355,1,0,1,2500,1088,1960,1,A,650000,2016-09-21
4,SPRINGFIELD GARDENS,1,13079,A,11413,1,0,1,2400,1656,1920,1,A,543000,2017-07-28
4,FAR ROCKAWAY,1,15525,S,11691,1,1,2,4629,2808,1920,1,S,1000,2016-12-09
1,CHINATOWN,4,162,K,10013,2,2,4,1360,3274,1920,4,K,4350000,2017-05-30
3,BAY RIDGE,1,5941,A,11209,1,0,1,1800,1744,1925,1,A,1100000,2017-04-06
4,SOUTH OZONE PARK,1,11604,A,11420,1,0,1,2267,1472,1930,1,A,325000,2017-04-06
